# Frequency(Hz) Omega_GW(Taiji) Omega_GW(TianQin)
2.456916462982790237e-05 1.277826949568776905e-07 8.115660472819062111e-08
2.485394857429798490e-05 1.234516133600150604e-07 7.948873565497769885e-08
2.514203348142796490e-05 1.192675833930394100e-07 7.785679199419151804e-08
2.543345761304648090e-05 1.152256093541234583e-07 7.625997897892072405e-08
2.572825967447932223e-05 1.113208652909828510e-07 7.469751967849951687e-08
2.602647881969004482e-05 1.075486892325542481e-07 7.316865459522936222e-08
2.632815465648020122e-05 1.039045776166926775e-07 7.167264127025288029e-08
2.663332725174980827e-05 1.003841799072270077e-07 7.020875389837250844e-08
2.694203713681882141e-05 9.698329339394039232e-08 6.877628295161144372e-08
2.725432531281027978e-05 9.369785816925762817e-08 6.737453481131644958e-08
2.757023325609582679e-05 9.052395227563535552e-08 6.600283140860965449e-08
2.788980292380439574e-05 8.745778701785379649e-08 6.466050987299856169e-08
2.821307675939470740e-05 8.449570243460722725e-08 6.334692218895959033e-08
2.854009769829237591e-05 8.163416292397845944e-08 6.206143486031303589e-08
2.887090917359234806e-05 7.886975301756882139e-08 6.080342858221288338e-08
2.920555512182745176e-05 7.619917329823254358e-08 5.957229792057825485e-08
2.954407998880379912e-05 7.361923645653368700e-08 5.836745099879676055e-08
2.988652873550382686e-05 7.112686348121341149e-08 5.718830919153556164e-08
3.023294684405776334e-05 6.871907997911286283e-08 5.603430682549716331e-08
3.058338032378431524e-05 6.639301262015193791e-08 5.490489088696311169e-08
3.093787571730136646e-05 6.414588570311495945e-08 5.379952073597090490e-08
3.129648010670750265e-05 6.197501783813799574e-08 5.271766782697328043e-08
3.165924111983520818e-05 5.987781874193138205e-08 5.165881543583254127e-08
3.202620693657650487e-05 5.785178614190700846e-08 5.062245839300608417e-08
3.239742629528195378e-05 5.589450278550948202e-08 4.960810282278217825e-08
3.277294849923382338e-05 5.400363355117539373e-08 4.861526588842853000e-08
3.315282342319423014e-05 5.217692265746858128e-08 4.764347554311944590e-08
3.353710152002928861e-05 5.041219096705344224e-08 4.669227028650989912e-08
3.392583382740992125e-05 4.870733338228478672e-08 4.576119892682835990e-08
3.431907197459042598e-05 4.706031632930025181e-08 4.484982034836321412e-08
3.471686818926559409e-05 4.546917532760784084e-08 4.395770328421938775e-08
3.511927530450727994e-05 4.393201264226335737e-08 4.308442609422651329e-08
3.552634676578139125e-05 4.244699501583127532e-08 4.222957654788051658e-08
3.593813663804625562e-05 4.101235147741740824e-08 4.139275161220507545e-08
3.635469961293317630e-05 3.962637122615465636e-08 4.057355724442044694e-08
3.677609101601030897e-05 3.828740158661180348e-08 3.977160818931103107e-08
3.720236681413065894e-05 3.699384603368089944e-08 3.898652778118464075e-08
3.763358362286532385e-05 3.574416228458231566e-08 3.821794775031870365e-08
3.806979871402284228e-05 3.453686045570698988e-08 3.746550803379253969e-08
3.851107002325568519e-05 3.337050128209212507e-08 3.672885659060488408e-08
3.895745615775500812e-05 3.224369439740211945e-08 3.600764922098007428e-08
3.940901640403447737e-05 3.115509667235864754e-08 3.530154938976729873e-08
3.986581073580438997e-05 3.010341060963334888e-08 3.461022805384029613e-08
4.032789982193704951e-05 2.908738279328510720e-08 3.393336349340629047e-08
4.079534503452448896e-05 2.810580239088745103e-08 3.327064114713543502e-08
4.126820845702951608e-05 2.715749970655628819e-08 3.262175345102425561e-08
4.174655289253134888e-05 2.624134478314797900e-08 3.198639968090783374e-08
4.223044187206672164e-05 2.535624605195672094e-08 3.136428579853820369e-08
4.271993966306776293e-05 2.450114902829734253e-08 3.075512430114773430e-08
4.321511127789762110e-05 2.367503505141415525e-08 3.015863407441854927e-08
4.371602248248502334e-05 2.287692006720944182e-08 2.957454024878041316e-08
4.422273980505896747e-05 2.210585345233656684e-08 2.900257405896160767e-08
4.473533054498463085e-05 2.136091687825218438e-08 2.844247270671906998e-08
4.525386278170166862e-05 2.064122321386933172e-08 2.789397922667506084e-08
4.577840538376616169e-05 1.994591546550012631e-08 2.735684235519069724e-08
4.630902801799736631e-05 1.927416575282015332e-08 2.683081640220634700e-08
4.684580115873045137e-05 1.862517431963146490e-08 2.631566112598256529e-08
4.738879609717651056e-05 1.799816857824066416e-08 2.581114161067473680e-08
4.793808495089106934e-05 1.739240218631049867e-08 2.531702814667788966e-08
4.849374067335233355e-05 1.680715415508086250e-08 2.483309611367826253e-08
4.905583706365045348e-05 1.624172798789386773e-08 2.435912586635047007e-08
4.962444877628913165e-05 1.569545084799242095e-08 2.389490262263995184e-08
5.019965133110079395e-05 1.516767275459829170e-08 2.344021635457233887e-08
5.078152112327670659e-05 1.465776580630804072e-08 2.299486168153196432e-08
5.137013543351338728e-05 1.416512343087893623e-08 2.255863776595407388e-08
5.196557243827657098e-05 1.368915966050783724e-08 2.213134821137507339e-08
5.256791122018419400e-05 1.322930843173677067e-08 2.171280096278817176e-08
5.317723177850966352e-05 1.278502290914854381e-08 2.130280820925173786e-08
5.379361503980697789e-05 1.235577483204356008e-08 2.090118628869888759e-08
5.441714286865887681e-05 1.194105388331729551e-08 2.050775559489903417e-08
5.504789807854967469e-05 1.154036707978377597e-08 2.012234048652208533e-08
5.568596444286408510e-05 1.115323818321634540e-08 1.974476919825762180e-08
5.633142670601352036e-05 1.077920713140171822e-08 1.937487375394272834e-08
5.698437059469136365e-05 1.041782948852725269e-08 1.901248988165249619e-08
5.764488282925873171e-05 1.006867591424433796e-08 1.865745693070892933e-08
5.831305113526218489e-05 9.731331650773424055e-09 1.830961779056464566e-08
5.898896425508493637e-05 9.405396027437522369e-09 1.796881881151892887e-08
5.967271195973310562e-05 9.090481982031829334e-09 1.763490972722433186e-08
6.036438506075863543e-05 8.786215598457557269e-09 1.730774357894355125e-08
6.106407542232036346e-05 8.492235660067078280e-09 1.698717664151657070e-08
6.177187597338488134e-05 8.208193218186661109e-09 1.667306835099944355e-08
6.248788072006888211e-05 7.933751175300868533e-09 1.636528123393668433e-08
6.321218475812448011e-05 7.668583882400515277e-09 1.606368083823050941e-08
6.394488428556936667e-05 7.412376750012842596e-09 1.576813566557021626e-08
6.468607661546321112e-05 7.164825872448948819e-09 1.547851710538681100e-08
6.543586018883228584e-05 6.925637664819336643e-09 1.519469937029803684e-08
6.619433458774387382e-05 6.694528512383687014e-09 1.491655943300993507e-08
6.696160054853215278e-05 6.471224431815781799e-09 1.464397696464231981e-08
6.773775997517745325e-05 6.255460743978584285e-09 1.437683427444530591e-08
6.852291595284057120e-05 6.046981757818400595e-09 1.411501625087587215e-08
6.931717276155400522e-05 5.845540465000276653e-09 1.385841030400327211e-08
7.012063589007177199e-05 5.650898244919624035e-09 1.360690630921342280e-08
7.093341204987990039e-05 5.462824579737428568e-09 1.336039655218261700e-08
7.175560918936921718e-05 5.281096779098504674e-09 1.311877567509195842e-08
7.258733650817245705e-05 5.105499714203690048e-09 1.288194062405426504e-08
7.342870447166758088e-05 4.935825560918126614e-09 1.264979059772608070e-08
7.427982482564910469e-05 4.771873551608587406e-09 1.242222699707784872e-08
7.514081061116962114e-05 4.613449735413241428e-09 1.219915337629609053e-08
7.601177617955322144e-05 4.460366746657230974e-09 1.198047539479181253e-08
7.689283720758305352e-05 4.312443581137346328e-09 1.176610077029020355e-08
7.778411071286481921e-05 4.169505380008342223e-09 1.155593923297709022e-08
7.868571506936843291e-05 4.031383221012597348e-09 1.134990248067811744e-08
7.959777002314977982e-05 3.897913916803584610e-09 1.114790413504750442e-08
8.052039670825470135e-05 3.768939820122074528e-09 1.094985969874310441e-08
8.145371766280736284e-05 3.644308635592233216e-09 1.075568651356590910e-08
8.239785684528511741e-05 3.523873237912640031e-09 1.056530371954173649e-08
8.335293965098187206e-05 3.407491496224941089e-09 1.037863221492407703e-08
8.431909292866250367e-05 3.295026104450194412e-09 1.019559461709695365e-08
8.529644499741016815e-05 3.186344417390120080e-09 1.001611522435775802e-08
8.628512566366887437e-05 3.081318292397367833e-09 9.840119978559772309e-09
8.728526623848370818e-05 2.979823936425564316e-09 9.667536428595217275e-09
8.829699955494083421e-05 2.881741758276300774e-09 9.498293694699586514e-09
8.932045998580959297e-05 2.786956225866492057e-09 9.332322433558805782e-09
9.035578346138920045e-05 2.695355728345509621e-09 9.169554804201016157e-09
9.140310748756223216e-05 2.606832442897254167e-09 9.009924434655140392e-09
9.246257116405733111e-05 2.521282206068032863e-09 8.853366389359068460e-09
9.353431520292376886e-05 2.438604389466369397e-09 8.699817137300200694e-09
9.461848194721991974e-05 2.358701779686260114e-09 8.549214520872142391e-09
9.571521538991856182e-05 2.281480462310300816e-09 8.401497725431017854e-09
9.682466119303114621e-05 2.206849709854098818e-09 8.256607249535799930e-09
9.794696670695385331e-05 2.134721873518000493e-09 8.114484875857051124e-09
9.908228099003787580e-05 2.065012278616768220e-09 7.975073642739008347e-09
1.002307548283865436e-04 1.997639123562250360e-09 7.838317816400224627e-09
1.013925407558815276e-04 1.932523382278308135e-09 7.704162863758414558e-09
1.025677930744421868e-04 1.869588709931303266e-09 7.572555425865148561e-09
1.037566678745185890e-04 1.808761351863594579e-09 7.443443291936840992e-09
1.049593230558227707e-04 1.749970055621108253e-09 7.316775373968507650e-09
1.061759183483000125e-04 1.693145985969904312e-09 7.192501681917014817e-09
1.074066153333433420e-04 1.638222642800119003e-09 7.070573299441046488e-09
1.086515774652538379e-04 1.585135781819220789e-09 6.950942360185082650e-09
1.099109700929497193e-04 1.533823337939769138e-09 6.833562024595323340e-09
1.111849604819271041e-04 1.484225351270115067e-09 6.718386457255261645e-09
1.124737178364751899e-04 1.436283895619612261e-09 6.605370804729335005e-09
1.137774133221491354e-04 1.389943009432875282e-09 6.494471173903157860e-09
1.150962200885032326e-04 1.345148629070566577e-09 6.385644610809027252e-09
1.164303132920876748e-04 1.301848524356953258e-09 6.278849079925857859e-09
1.177798701197119304e-04 1.259992236317231191e-09 6.174043443942713720e-09
1.191450698119775949e-04 1.219531017030201179e-09 6.071187443975600187e-09
1.205260936870842587e-04 1.180417771524400745e-09 5.970241680227088676e-09
1.219231251649110739e-04 1.142607001648287364e-09 5.871167593079002731e-09
1.233363497913775981e-04 1.106054751847369744e-09 5.773927444608161471e-09
1.247659552630869643e-04 1.070718556783496810e-09 5.678484300515850659e-09
1.262121314522547384e-04 1.036557390733714519e-09 5.584802012461438503e-09
1.276750704319265669e-04 1.003531618708214502e-09 5.492845200791262187e-09
1.291549665014884106e-04 9.716029492289644210e-10 5.402579237653653075e-09
1.306520162124721288e-04 9.407343887125895680e-10 5.313970230491535943e-09
1.321664183946605190e-04 9.108901974029955429e-10 5.226985005903968968e-09
1.336983741824946607e-04 8.820358468010712040e-10 5.141591093868398975e-09
1.352480870417875451e-04 8.541379785406042181e-10 5.057756712315432951e-09
1.368157627967471913e-04 8.271643646612704400e-10 4.975450752048163354e-09
1.384016096573131502e-04 8.010838692312139564e-10 4.894642761998328831e-09
1.400058382468097589e-04 7.758664112733810286e-10 4.815302934811675431e-09
1.416286616299198848e-04 7.514829289512911111e-10 4.737402092755105978e-09
1.432702953409830901e-04 7.279053449714500337e-10 4.660911673938340053e-09
1.449309574126216591e-04 7.051065331610815762e-10 4.585803718843060167e-09
1.466108684046984459e-04 6.830602861812259550e-10 4.512050857152502345e-09
1.483102514336104446e-04 6.617412843366346166e-10 4.439626294874841410e-09
1.500293322019218239e-04 6.411250654451877540e-10 4.368503801753641026e-09
1.517683390283405451e-04 6.211879957308455705e-10 4.298657698958995073e-09
1.535275028780422768e-04 6.019072417053446592e-10 4.230062847052963771e-09
1.553070573933459984e-04 5.832607430050453169e-10 4.162694634223147014e-09
1.571072389247450316e-04 5.652271861504797021e-10 4.096528964778371388e-09
1.589282865622978103e-04 5.477859791972490379e-10 4.031542247900575706e-09
1.607704421673823735e-04 5.309172272479805750e-10 3.967711386647124645e-09
1.626339504048192157e-04 5.146017087960888992e-10 3.905013767197920695e-09
1.645190587753662351e-04 4.988208528730780634e-10 3.843427248341746668e-09
1.664260176485903616e-04 4.835567169720889294e-10 3.782930151196585341e-09
1.683550802961202269e-04 4.687919657213052756e-10 3.723501249158489517e-09
1.703065029252844313e-04 4.545098502817499370e-10 3.665119758073979863e-09
1.722805447131393918e-04 4.406941884448555294e-10 3.607765326630878809e-09
1.742774678408919205e-04 4.273293454060331220e-10 3.551418026962693125e-09
1.762975375287205730e-04 4.144002151912686239e-10 3.496058345461719388e-09
1.783410220710008080e-04 4.018922027145654126e-10 3.441667173796211598e-09
1.804081928719382670e-04 3.897912064447938761e-10 3.388225800126990317e-09
1.824993244816152445e-04 3.780836016612400706e-10 3.335715900519000074e-09
1.846146946324547647e-04 3.667562242778623496e-10 3.284119530543500472e-09
1.867545842761076063e-04 3.557963552169212893e-10 3.233419117066514382e-09
1.889192776207666380e-04 3.451917053133243526e-10 3.183597450219396900e-09
1.911090621689137778e-04 3.349304007316539425e-10 3.134637675547455350e-09
1.933242287555045097e-04 3.250009688784557861e-10 3.086523286332562594e-09
1.955650715865949168e-04 3.153923247929661023e-10 3.039238116085887884e-09
1.978318882784164360e-04 3.060937580000194753e-10 2.992766331206929910e-09
2.001249798969037010e-04 2.970949198094328397e-10 2.947092423805101987e-09
2.024446509976803791e-04 2.883858110467043921e-10 2.902201204680230234e-09
2.047912096665085318e-04 2.799567702003624458e-10 2.858077796458374344e-09
2.071649675602068924e-04 2.717984619718195965e-10 2.814707626879540220e-09
2.095662399480432926e-04 2.639018662140489253e-10 2.772076422233792954e-09
2.119953457536070929e-04 2.562582672458776957e-10 2.730170200942528420e-09
2.144526075971667385e-04 2.488592435291349945e-10 2.688975267281568292e-09
2.169383518385184322e-04 2.416966576963253754e-10 2.648478205242961666e-09
2.194529086203313715e-04 2.347626469169228990e-10 2.608665872532346708e-09
2.219966119119954869e-04 2.280496135907770785e-10 2.569525394698835717e-09
2.245697995539773994e-04 2.215502163575194762e-10 2.531044159394451577e-09
2.271728133026905069e-04 2.152573614112411748e-10 2.493209810760252703e-09
2.298059988758851082e-04 2.091641941100572164e-10 2.456010243936233155e-09
2.324697059985647986e-04 2.032640908705546035e-10 2.419433599692284365e-09
2.351642884494348565e-04 1.975506513374354578e-10 2.383468259177493728e-09
2.378901041078893431e-04 1.920176908190110641e-10 2.348102838785114068e-09
2.406475150015424170e-04 1.866592329795140658e-10 2.313326185130618205e-09
2.434368873543110473e-04 1.814695027795043823e-10 2.279127370140333090e-09
2.462585916350546540e-04 1.764429196559417650e-10 2.245495686248137645e-09
2.491130026067788590e-04 1.715740909337815794e-10 2.212420641697838308e-09
2.520004993764092018e-04 1.668578054612305060e-10 2.179891955948836681e-09
2.549214654451423018e-04 1.622890274610631612e-10 2.147899555182802551e-09
2.578762887593801043e-04 1.578628905906613050e-10 2.116433567909063478e-09
2.608653617622547997e-04 1.535746922036832869e-10 2.085484320666530486e-09
2.638890814457510296e-04 1.494198878065172067e-10 2.055042333819983976e-09
2.669478494034321025e-04 1.453940857028989753e-10 2.025098317448625020e-09
2.700420718837772652e-04 1.414930418203045300e-10 1.995643167324816633e-09
2.731721598441376204e-04 1.377126547119420513e-10 1.966667960981009947e-09
2.763385290053169780e-04 1.340489607283772092e-10 1.938163953862887421e-09
2.795415999067856643e-04 1.304981293530328927e-10 1.910122575566781271e-09
2.827817979625341181e-04 1.270564586959937830e-10 1.882535426159515503e-09
2.860595535175741895e-04 1.237203711407410343e-10 1.855394272578796913e-09
2.893753019050950264e-04 1.204864091386199905e-10 1.828691045112385537e-09
2.927294835042816242e-04 1.173512311460262587e-10 1.802417833954278103e-09
2.961225437988034676e-04 1.143116076994602111e-10 1.776566885836186001e-09
2.995549334359813402e-04 1.113644176237668712e-10 1.751130600732612068e-09
3.030271082866396216e-04 1.085066443690403845e-10 1.726101528637934063e-09
3.065395295056526901e-04 1.057353724718195227e-10 1.701472366413830759e-09
3.100926635931926419e-04 1.030477841363553692e-10 1.677235954705523664e-09
3.136869824566876504e-04 1.004411559318724090e-10 1.653385274925290658e-09
3.173229634734976343e-04 9.791285560188243847e-11 1.629913446301746281e-09
3.210010895543171532e-04 9.546033898174732372e-11 1.606813722993439234e-09
3.247218492073128513e-04 9.308114702081371219e-11 1.584079491265313550e-09
3.284857366030043374e-04 9.077290290556717668e-11 1.561704266726660501e-09
3.322932516398971773e-04 8.853330928037733487e-11 1.539681691629186689e-09
3.361449000108765071e-04 8.636014556251736351e-11 1.518005532223828915e-09
3.400411932703705929e-04 8.425126534825779129e-11 1.496669676175073404e-09
3.439826489022924688e-04 8.220459390694154807e-11 1.475668130031438112e-09
3.479697903887691386e-04 8.021812576005253290e-11 1.454995016750914362e-09
3.520031472796678832e-04 7.828992234239062078e-11 1.434644573280113591e-09
3.560832552629278054e-04 7.641810974256664691e-11 1.414611148185964062e-09
3.602106562357070192e-04 7.460087652012256900e-11 1.394889199338756866e-09
3.643858983763544296e-04 7.283647159667573828e-11 1.375473291645415041e-09
3.686095362172158059e-04 7.112320221857303785e-11 1.356358094831885623e-09
3.728821307182833642e-04 6.945943198862766907e-11 1.337538381273532995e-09
3.772042493416997554e-04 6.784357896459255955e-11 1.319009023872510305e-09
3.815764661271248614e-04 6.627411382210393082e-11 1.300764993981022243e-09
3.859993617679767291e-04 6.474955807990767582e-11 1.282801359369513233e-09
3.904735236885560211e-04 6.326848238525223038e-11 1.265113282238735500e-09
3.949995461220642823e-04 6.182950485740658632e-11 1.247696017274763512e-09
3.995780301895269734e-04 6.043128948732926312e-11 1.230544909745987853e-09
4.042095839796310290e-04 5.907254459158286663e-11 1.213655393641162682e-09
4.088948226294864268e-04 5.775202131865189012e-11 1.197022989847598538e-09
4.136343684063277602e-04 5.646851220588529366e-11 1.180643304368611702e-09
4.184288507901584705e-04 5.522084978534567837e-11 1.164512026579369411e-09
4.232789065573553029e-04 5.400790523690434829e-11 1.148624927520272738e-09
4.281851798652415507e-04 5.282858708697919035e-11 1.132977858227059881e-09
4.331483223376403108e-04 5.168183995136573356e-11 1.117566748096808057e-09
4.381689931514194582e-04 5.056664332066514041e-11 1.102387603289052732e-09
4.432478591240400501e-04 4.948201038686328351e-11 1.087436505161235040e-09
4.483855948021190545e-04 4.842698690966462000e-11 1.072709608737743716e-09
4.535828825510190908e-04 4.740065012123110547e-11 1.058203141211785532e-09
4.588404126454761296e-04 4.640210766802391934e-11 1.043913400479385715e-09
4.641588833612782196e-04 4.543049658848775340e-11 1.029836753704786072e-09
4.695390010680062978e-04 4.448498232536250289e-11 1.015969635916572869e-09
4.749814803228504748e-04 4.356475777144698157e-11 1.002308548633846676e-09
4.804870439655133953e-04 4.266904234767978206e-11 9.888500585217734560e-10
4.860564232142139006e-04 4.179708111244085345e-11 9.755907960758779064e-10
4.916903577628031373e-04 4.094814390101492100e-11 9.625274543344437787e-10
4.973895958790067184e-04 4.012152449419298273e-11 9.496567876183993407e-10
5.031548945038056761e-04 3.931653981502442305e-11 9.369756102981002707e-10
5.089870193519685114e-04 3.853252915276409784e-11 9.244807955863999390e-10
5.148867450137497919e-04 3.776885341309263383e-11 9.121692743574543110e-10
5.208548550577665184e-04 3.702489439371839678e-11 9.000380339906690056e-10
5.268921421350676549e-04 3.630005408450139045e-11 8.880841172392728647e-10
5.329994080844092930e-04 3.559375399126615429e-11 8.763046211229458314e-10
5.391774640387505179e-04 3.490543448250221230e-11 8.646966958440040013e-10
5.454271305329836403e-04 3.423455415817454913e-11 8.532575437266043865e-10
5.517492376129128854e-04 3.358058923989560549e-11 8.419844181784788748e-10
5.581446249454966122e-04 3.294303298173468012e-11 8.308746226747082084e-10
5.646141419303672649e-04 3.232139510096467878e-11 8.199255097630473269e-10
5.711586478126434762e-04 3.171520122807131465e-11 8.091344800903355446e-10
5.777790117970506940e-04 3.112399237537149447e-11 7.984989814495365079e-10
5.844761131633637767e-04 3.054732442361110202e-11 7.880165078469551564e-10
5.912508413831881436e-04 2.998476762593197842e-11 7.776845985891888351e-10
5.981040962380944435e-04 2.943590612862123366e-11 7.675008373894009321e-10
6.050367879391224625e-04 2.890033750807326278e-11 7.574628514924750174e-10
6.120498372476703168e-04 2.837767232341629437e-11 7.475683108186554340e-10
6.191441755977847598e-04 2.786753368427278696e-11 7.378149271252707816e-10
6.263207452198691922e-04 2.736955683314139607e-11 7.282004531861482077e-10
6.335804992658254208e-04 2.688338874190587766e-11 7.187226819883295264e-10
6.409244019356456464e-04 2.640868772199267192e-11 7.093794459457348198e-10
6.483534286054726779e-04 2.594512304771553936e-11 7.001686161293797848e-10
6.558685659571435525e-04 2.549237459236115646e-11 6.910881015138137814e-10
6.634708121092351002e-04 2.505013247658496189e-11 6.821358482394210340e-10
6.711611767496286933e-04 2.461809672870088402e-11 6.733098388902364318e-10
6.789406812696112013e-04 2.419597695646294662e-11 6.646080917869561210e-10
6.868103588995306923e-04 2.378349202995080160e-11 6.560286602948096362e-10
6.947712548460240100e-04 2.338036977518345834e-11 6.475696321459700427e-10
7.028244264308353096e-04 2.298634667809958287e-11 6.392291287762052323e-10
7.109709432312438749e-04 2.260116759855383317e-11 6.310053046754493258e-10
7.192118872221193223e-04 2.222458549399160171e-11 6.228963467520104577e-10
7.275483529196232748e-04 2.185636115247543879e-11 6.149004737101161244e-10
7.359814475265771296e-04 2.149626293474798142e-11 6.070159354405199212e-10
7.445122910795143496e-04 2.114406652502638739e-11 5.992410124238777765e-10
7.531420165974375561e-04 2.079955469023472256e-11 5.915740151466464596e-10
7.618717702322999347e-04 2.046251704738952487e-11 5.840132835292144360e-10
7.707027114212303652e-04 2.013274983886427662e-11 5.765571863660197064e-10
7.796360130405237399e-04 1.981005571526788371e-11 5.692041207774051321e-10
7.886728615614155540e-04 1.949424352568098771e-11 5.619525116729520288e-10
7.978144572076628855e-04 1.918512811500284536e-11 5.548008112260605216e-10
8.070620141149507367e-04 1.888253012817000126e-11 5.477474983595394674e-10
8.164167604921471590e-04 1.858627582101617726e-11 5.407910782419692667e-10
8.258799387844272151e-04 1.829619687755063095e-11 5.339300817946239466e-10
8.354528058382871408e-04 1.801213023343988418e-11 5.271630652087208010e-10
8.451366330684721229e-04 1.773391790548515059e-11 5.204886094727920320e-10
